TITLE,BRAND,MODEL,RAM(GB),ROM(GB),DISPLAY_SIZE(inch),CONNECTIVITY_TYPE,REAR_CAMERA(MP),FRONT_CAMERA(MP),BATTERY(mAh),VERSION,WARRENTY,RATINGS,REVIEWS_COUNT,ORIGINAL_PRICE(INR),FINAL_PRICE(INR),DISCOUNT_PERCENT,EXCHANGE_DISCOUNT_PRICE(INR)
lenovo m10 5g 6 gb ram 128 gb rom 10.61 inch with wi-fi+5g tablet (abyss blue),lenovo,m10 5g,6,128,10.61,wi-fi+sim,13.0,8.0,7700,android,1,4.2,155,40000,17996,55,0
samsung galaxy tab s9 fe 6 gb ram 128 gb rom 10.9 inch with wi-fi+5g tablet (gray),samsung,galaxy tab s9 fe,6,128,10.9,wi-fi+sim,8.0,12.0,10090,android,1,4.5,226,54999,42848,22,0
redmi pad 2 8 gb ram 256 gb rom 11.0 inch with wi-fi+4g gaming tablet (sky blue),redmi,pad 2,8,256,11.0,wi-fi+sim,12.0,5.0,9000,android,1,4.3,157,21999,17999,18,13650
redmi pad 2 4 gb ram 128 gb rom 11.0 inch with wi-fi only gaming tablet (graphite grey),redmi,pad 2,4,128,11.0,wi-fi only,12.0,5.0,9000,android,1,4.3,157,16999,13917,18,10500
motorola pad 60 pro 8 gb ram 128 gb rom 12.7 inch with wi-fi only gaming tablet (pantone bronze green),motorola,pad 60 pro,8,128,12.7,wi-fi only,13.0,8.0,10200,android,1,4.5,445,43999,27999,36,20900
realme pad 2 lite 4 gb ram 128 gb rom 10.95 inch with 4g tablet (nebula purple),realme,pad 2 lite,4,128,10.95,wi-fi+sim,8.0,5.0,8300,android,1,4.4,923,20999,14999,28,11200
samsung galaxy tab a9+ 8 gb ram 128 gb rom 11.0 inch with wi-fi only tablet (graphite),samsung,galaxy tab a9+,8,128,11.0,wi-fi only,8.0,5.0,5100,android,1,4.5,1464,27999,21890,21,0
samsung galaxy tab s9 fe+ 8 gb ram 128 gb rom 12.4 inch with wi-fi only tablet (mint),samsung,galaxy tab s9 fe+,8,128,12.4,wi-fi only,8.0,12.0,10090,android,1,4.6,1047,59999,31999,46,24700
samsung galaxy tab s9 fe+ 8 gb ram 128 gb rom 12.4 inch with wi-fi only tablet (lavender),samsung,galaxy tab s9 fe+,8,128,12.4,wi-fi only,8.0,12.0,10090,android,1,4.6,1047,55999,29990,46,0
lenovo tab m10 plus (3rd gen) 6 gb ram 128 gb rom 10.61 inch with wi-fi only tablet (storm grey),lenovo,tab m10 plus (3rd gen),6,128,10.61,wi-fi only,8.0,8.0,7700,android,1,4.2,44,32000,13999,56,10600
samsung galaxy tab s9 8 gb ram 128 gb rom 11.0 inch with wi-fi only tablet (graphite),samsung,galaxy tab s9,8,128,11.0,wi-fi only,13.0,12.0,8400,android,0,4.7,134,81999,47499,42,0
poco pad 5g 8 gb ram 256 gb rom 12.1 inch with wi-fi+5g tablet (cobalt blue),poco,pad 5g,8,256,12.1,wi-fi+sim,8.0,8.0,10000,android,1,4.4,744,32999,25999,21,20000
xiaomi pad 7 12 gb ram 256 gb rom 11.17 inch with wi-fi only gaming tablet (sage green),xiaomi,pad 7,12,256,11.17,wi-fi only,13.0,8.0,8850,android,1,4.5,186,37999,30999,18,23400
realme pad 2 6 gb ram 128 gb rom 11.5 inch with wi-fi only tablet (imagination grey),realme,pad 2,6,128,11.5,wi-fi only,8.0,5.0,8360,android,1,4.4,2767,24999,14999,40,11200
xiaomi pad 7 8 gb ram 128 gb rom 11.17 inch with wi-fi only gaming tablet (graphite grey),xiaomi,pad 7,8,128,11.17,wi-fi only,13.0,8.0,8850,android,1,4.5,186,34999,27999,20,20900
